COD_AREA_PROGR;ZONA_SANITARIA;NOM_A_PROGRAMA;COD_LOC;NOM_LOC;TIENE_ESCU;COD_LOC_IN;TIPO;GEOM900913;wkt_geom;CLASIFICACION_PROV;CodProv;CodDepart;CodLoc;Establec;NOMBRE_ENT
42;2;ALUMINE;58007036;CARRI LIL;t;;PARAJE;"SRID=900913;POINT(-7895136.78809116 -4755997.47035293)";POINT(-70.923220 -39.239231);paraje;58;007;000;HOSP.ALUMINE;CARRI LIL
20;2;ZAPALA;58112056;CARRO QUEBRADO;t;;PARAJE;"SRID=900913;POINT(-7763290.85991859 -4733755.03138103)";POINT(-69.738828 -39.084307);paraje;;;;;
20;2;ZAPALA;58021008;CASA DE PIEDRA;f;;PARAJE;"SRID=900913;POINT(-7847943.95089241 -4751320.09766621)";POINT(-70.499280 -39.206680);paraje;;;;;
44;4;LAS COLORADAS;58021009;CATAN LIL;f;;PARAJE;"SRID=900913;POINT(-7859983.15382171 -4828674.4078764)";POINT(-70.607430 -39.743060);paraje;58;021;000;HOSP.LAS COLORADAS;CATAN LIL
44;4;LAS COLORADAS;58021010;CATATUN;f;;PARAJE;"SRID=900913;POINT(-7875355.26230535 -4775423.77762063)";POINT(-70.745520 -39.374260);paraje;;;;;
24;2;LONCOPUE;58084003;CAVIAHUE;t;58084010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7910105.75426935 -4561526.78156184)";POINT(-71.057689 -37.873187);municipio 3;58;084;010;HOSP.LONCOPUE;CAVIAHUE
33;3;ANDACOLLO;58077011;CAYANTA;t;;PARAJE;"SRID=900913;POINT(-7879564.58617862 -4462363.54929381)";POINT(-70.783333 -37.166667);paraje;58;077;000;HOSP.ANDACOLLO;CAYANTA
13;1;CENTENARIO;58035006;CENTENARIO;t;58035030;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7584555.39342404 -4693062.30885448)";POINT(-68.133220 -38.799991);municipio 1;58;035;030;HOSP.CENTENARIO;CENTENARIO
35;3;EL CHOLAR;58084004;CHACAICO;f;;PARAJE;"SRID=900913;POINT(-7889218.99168875 -4489117.14050814)";POINT(-70.870060 -37.357940);paraje;;;;;
30;3;CHOS MALAL;58042041;CHACAY MELEHUE/EL ALAMITO;t;;PARAJE;"SRID=900913;POINT(-7833181.53924895 -4471680.49509147)";POINT(-70.366667 -37.233333);paraje;58;042;000;HOSP.CHOS MALAL;CHACAY MELEHUE
41;4;JUNIN DE LOS ANDES;58049006;CHACAYAL;f;;PARAJE;"SRID=900913;POINT(-7898470.75456857 -4871009.33355553)";POINT(-70.953170 -40.034860);paraje;;;;;
30;3;CHOS MALAL;58042013;CHACAYCO;f;;PARAJE;"SRID=900913;POINT(-7801423.53568991 -4490040.10480717)";POINT(-70.349922 -39.333320);paraje;;;;;
20;2;ZAPALA;58021016;CHACAYCO;t;;PARAJE;"SRID=900913;POINT(-7831317.49158619 -4769529.88970088)";POINT(-70.081380 -37.364530);paraje;;;;;
42;2;ALUMINE;58007040;CHACRA 8;t;;PARAJE;"SRID=900913;POINT(-7894606.85496456 -4755500.09122165)";POINT(-70.918460 -39.235770);paraje;;;;;
05;5;CUTRALCO-PLAZA H.;58035042;CHACRAS DE MONTE HERMOSO;t;;PARAJE;"SRID=900913;POINT(-7705164.12484687 -4712126.59078595)";POINT(-69.216667 -38.933333);paraje;;;;;
05;5;CUTRALCO-PLAZA H.;58035008;CHALLACO;t;;PARAJE;"SRID=900913;POINT(-7676628.15741332 -4715286.9570243)";POINT(-68.960324 -38.955414);paraje;58;035;000;HOSP.C.CO-PZA HUINCUL;CHALLACO
40;4;SAN MARTIN DE LOS ANDES;58056009;CHAPELCO;f;;PARAJE;"SRID=900913;POINT(-7927951.49531536 -4880202.34027143)";POINT(-71.218000 -40.098060);paraje;58;056;000;HOSP.SAN MARTIN DE LOS ANDES;CHAPELCO
